,Total Downloads Since First Tracked (USA),Total Revenue Since First Tracked (USA),Total Downloads Since First Tracked (Global),Total Revenue Since First Tracked (Global),"""USA Daily Active Users (Past 30 days)""","""USA Monthly Active Users (Past 30 days)""","""Global Daily Active Users (Past 30 days)""","""Global Monthly Active Users (Past 30 days)"""
Sleep Genius: Revive Cycle Alarm Nap Relaxation,"49,300","$233,600.00","105,000","$539,200.00",457,"4,300","1,100","10,500"
iSleep Easy - Meditations for Restful Sleep (Paid),"34,800","$114,000.00","73,100","$236,700.00",454,"4,500",980,"9,700"
Unwind HD: Calm ambiance to breathe & stop anxiety,"64,800","$14,800.00","241,000","$41,200.00",437,"4,300","2,700","26,500"
Sleep Science Alarm Clock (free),"44,200",$0.00,"370,800",$0,434,"4,200","4,100","40,400"
Moodkit – Mood Improvement Tools,"29,000","$101,200.00","67,300",235000,426,"3,900",989,"8,900"
Moodfit - Stress & Anxiety,"5,200",$0.00,"20,400",$0,394,"3,700","1,600","14,700"
ACT Companion: Happiness Trap,"7,900","$52,300.00","34,100","$208,400.00",376,"3,400","1,300","11,400"
Woebot,"18,100",$0.00,"56,900",$0,363,"3,800","1,200","12,300"
GGOC: OCD Relief Exercise,"2,100","$10,600.00","12,500","$22,700.00",347,"1,700",835,"6,400"
Daily Cardio Workout (Paid),"11,700","$12,900.00","73,700","$78,500.00",346,"3,300","1,500","14,300"
iMoodJournal,"24,600","$33,000.00","45,200","$59,200.00",339,"2,900",635,"5,400"
DMHS: Interactive Suicide Prevention,"1,700",$0.00,"4,700",$0,334,"1,300",728,"3,500"
Anxiety Release,"18,700","$65,500.00","35,700","$127,000",259,"2,400",496,"4,600"
Emergency First Aid - Acupressure Massage Points! (Free),"12,700",$0.00,"77,300",$0,255,"2,500","2,700","26,100"
"iPrevail Anxiety, Stress, Depression Chat & Relief","19,600","$7,500.00","30,800","$7,500.00",254,"1,800",402,"2,800"
Meditation Timer Pro,"17,000","$16,800.00","53,200","$52,800.00",246,"2,900",766,"8,900"
Worry Watch - Stress & Anxiety,"15,600","$19,900.00","34,000","$46,500.00",221,"2,100",481,"4,500"
nOCD: Effective Care for OCD,"14,200",$0.00,"27,400",$0,218,"2,100",418,"4,000"
ACT Coach,"21,000",$0.00,"37,600",$0,208,"1,900",536,"4,900"
quitSTART,"15,200",$0.00,"19,900",$0,205,"1,800",259,"2,200"
iSleep Easy Free - Meditations for Restful Sleep,"26,200",$0.00,"95,300",$0,204,"2,100",949,"9,500"
Baby Dreams (Free),"20,100","$1,600.00","218,800","$6,200.00",193,"1,700","2,500","23,500"
MyBrainSolutions,"10,700",$0.00,"11,700",0,187,"1,900",198,"2,000"
Vital-EQ Respiroguide Pro (Paid),"1,300","$1,900.00","30,600","$43,000",169,"1,000","4,100","21,800"
Tactical Breather,"13,300",$0.00,"17,400",$0,159,"1,400",207,"1,900"
Dream EZ,"11,600",$0.00,"11,800",$0,153,"1,500",156,"1,500"
Cove,"9,000",$10.00,"96,700",$92,146,"1,400","1,900","19,500"
Panicshield – Panic Attack Aid,"2,200",$0.00,"10,900",$0,139,"1,400",794,"7,000"
Be Okay,"8,400",$0.00,"25,400",$0,139,"1,300",434,"4,200"
Easy Mood Diary,"10,500",$0.00,"32,100",$0,137,"1,300",455,"4,400"
Suicide Safety Plan,"7,200",$0.00,"16,900",$0,125,"1,200",272,"2,500"
Relax: Stress and Anxiety Relief (Paid),"7,000","$15,200.00","35,600","$78,000",123,"1,200",679,"6,500"
CPT Coach,"9,900",$0.00,"12,800",$0,121,"1,100",149,"1,400"
Calm Guided Meditation: Calming,"4,600","$4,000.00","23,700","$9,600.00",116,"1,100",506,"4,600"
Aware,"8,400","$7,100.00","30,300",19200,109,943,414,"3,160"
Anxiety Screening Test,"3,500",$0.00,"28,900",$0,109,"1,100","2,200","19,100"
Mood Mint -Boost Your Mood,"7,300","$11,100.00","56,100","$86,200.00",106,978,746,"6,800"
Children’s Bedtime Meditations,"3,800","$8,900.00","25,000","$45,400.00",99,"1,300",436,"5,600"
"Meditation - Sleep sounds, Yoga & Baby Relaxation","5,400",$0.00,"10,000",$0,86,837,154,"1,500"
WhatsMyM3 HD,"1,600",$8.00,"9,900",$8,85,765,339,"2,900"
iCounselor: Anxiety,"5,300","$3,700.00","22,600","$15,600.00",78,690,356,"3,200"
Panic Attacks? Deal with panic attacks & anxiety,"7,200",$0.00,"28,200",$0,72,652,309,"2,700"
iCounselor: OCD,"4,800","$3,300.00","15,700","$10,900.00",71,626,244,"2,100"
Yoga – Track Yoga,"6,200","$5,900.00","52,200","$13,400.00",69,605,764,"6,700"
iCBT,"4,500","$18,800.00","7,100",29900,68,605,110,981
PE Coach 2,"4,100",$0.00,"6,300",0,66,679,241,"2,000"
Beyond Affirmations - Guided Meditations,"6,800","$27,800.00","17,100","$53,200.00",65,598,174,"1,700"
"MHRG: Mental Health Recovery Guide - Best Self-Help Tips & Support For Patients With Depression, Schizophrenia Or BiPolar Disorder",946,$0.00,"6,800",$0,64,621,684,"4,900"
Anxiety Reliever,"1,900","$2,800.00","26,700",12000,62,594,"1,100","10,700"
Qcard,"4,600","$74,000.00","14,800","$207,800.00",59,521,165,"1,600"
Mindfit,"5,400","$14,600.00","61,500",157300,58,546,574,"5,200"
MindRelax Lite,"4,200",$0.00,"208,600",$0,58,526,"2,900","26,200"
Get Rid Of Depression with Acupressure Massage! (Free),"7,500",$0.00,"50,000",$0,58,577,563,"5,600"
"Stress Relief Hypnosis: Anxiety, Relax & Sleep","4,400","$2,000.00","23,800","$6,000",56,520,297,"2,800"
Stress Free Now,"4,200",$0.00,"7,000",0,56,491,84,740
LifeArmor,"2,900",$0.00,"3,900",$0,54,487,63,574
Mood Watch,"1,100",$754.00,"1,500","$1,100.00",48,434,73,610
Daybreak – Drink Less,760,"$18,700.00","23,600",59600,44,405,"1,700","13,200"
Moodlytics Pro - The Smart Mood Tracker,"2,700","$3,700.00","3,800",5300,44,411,61,561
Sleep Science HQ: alarm clock (paid),"9,300","$5,000.00","34,700","$14,300.00",43,419,159,"1,600"
Live OCD Free,"1,400","$30,700.00","1,800","$39,500.00",42,378,52,468
kardia – Anti-Stress Breath Pacer,"1,600","$1,300.00","138,700","$16,600.00",42,396,"2,300","21,500"
Everyday Health with Acupressure - Daily Massage!,"3,500",$0.00,"121,600",$0,38,378,"2,600","25,200"
Potential Project,"3,000",$0.00,"28,400",0,38,347,248,"2,200"
MindRelax,"1,800","$1,300.00","12,800","$9,200.00",35,318,205,"1,900"
